id,vocal_channel,emotion,emotional_intensity,repetition,gender,mfcc_mean,mfcc_var,chroma_mean,chroma_var,spectral_contrast_mean,zcr_mean,rms_mean,tempo,duration
03-01-01-01-01-01-01.wav,speech,neutral,normal,1,male,-48.83824191643642,2629.6466994652383,0.633091539144516,0.078498197098573,13.716913967780377,0.0504756804435483,0.0021197071764618,[187.5],3.3032916666666665
03-01-01-01-01-01-02.wav,speech,neutral,normal,1,female,-48.39633128276238,2503.0154281029336,0.4253978803753853,0.1184401859839757,15.19684358543788,0.0550984581195014,0.0033448308240622,[117.1875],3.636958333333333
03-01-01-01-01-01-03.wav,speech,neutral,normal,1,male,-44.9681495978282,2273.97258582482,0.4817626227935155,0.10834396878878272,14.824276842006793,0.0578106859520123,0.0037571350112557,[130.81395349],3.4367708333333336
03-01-01-01-01-01-04.wav,speech,neutral,normal,1,female,-53.16368858229656,2486.508333352896,0.4095659876863162,0.1300768454869588,14.636528543316738,0.0491541708669354,0.0023342985659837,[144.23076923],3.3032916666666665
03-01-01-01-01-01-05.wav,speech,neutral,normal,1,male,-47.06751726682369,2082.9827270507812,0.6027686496575674,0.07398819488783676,14.463321229363272,0.0617112379807692,0.0013985182158648,[108.17307692],3.6036041666666665
03-01-01-01-01-01-06.wav,speech,neutral,normal,1,female,-56.3427657530858,2517.3098989633413,0.5364242568612099,0.10141218826174735,14.720093594716678,0.063484362519968,0.001520890626125,[156.25],3.3366666666666664
03-01-01-01-01-01-07.wav,speech,neutral,normal,1,male,-43.24077093601227,2412.8535989614634,0.5560501913229624,0.08262399087349571,15.234345332436373,0.0731207842383879,0.0025574760511517,[114.79591837],3.9039166666666665
03-01-01-01-01-01-08.wav,speech,neutral,normal,1,female,-45.31002140045166,2483.1650326068584,0.5628711506724358,0.10454788679877912,15.268689068294096,0.0580149363601823,0.0023973677307367,[133.92857143],3.5035
03-01-01-01-01-01-09.wav,speech,neutral,normal,1,male,-41.48779989205874,1741.782843369704,0.6712520569562912,0.05669464543461795,13.697719731780337,0.0339761044381107,0.0012981452746316,[104.16666667],3.2699375
03-01-01-01-01-01-10.wav,speech,neutral,normal,1,female,-40.98218001425266,2408.448108966534,0.49726204325755435,0.10655313047269976,16.40055191404362,0.0978445030120482,0.0092509407550096,[90.72580645],3.536875
03-01-01-01-01-01-11.wav,speech,neutral,normal,1,male,-45.56412868316357,2458.8547310462363,0.6502386232217153,0.08038806822150942,14.243908071574884,0.0528088585805084,0.0017155540408566,[187.5],3.1364791666666667
